date,mc_percentile,mc_z_score,mc_p10,mc_p50,mc_p90,efficiency_ratio,ghi_daily,yield_daily,healthy,cluster,manual_label
2024-01-11,0.0,-9.3373316658392,597.7880512293591,609.3151485233213,620.8856988026567,0.0616500261435354,8508.35,524.54,False,4,Soiling
2024-01-12,0.0,-9.7566942968411,588.4696372690017,598.8176259652981,610.2612503632292,0.0617942167351869,8372.79,517.39,False,4,Soiling
2024-01-13,0.0,-9.69742105260909,601.9693903432723,613.1029103745,624.2607476014075,0.0620127610407339,8563.56,531.05,False,4,Soiling
2024-01-19,0.0,-11.517456256869318,587.3101602055976,598.0819182003075,608.5738356397137,0.0603900687932527,8357.5,504.71,False,0,Soiling
2024-01-24,0.0,-9.79270702310126,554.9524685948102,566.3326440018797,577.167589311337,0.0611758789066641,7913.74,484.13,False,0,Soiling
2024-02-06,0.0,-41.88177062475429,505.49970264594697,514.8195365662928,525.5047978347096,0.0257722567482295,7190.29,185.31,False,3,Soiling
2024-02-08,0.0,-55.0402491598184,556.257982996578,566.5497633397988,576.7567175176808,0.0152078430461657,7916.31,120.39,False,3,Soiling
2024-03-09,7.000000000000001,-1.524239812682617,480.6295719843706,490.3428784987998,499.8322221437068,0.0698844307613669,6852.17,478.86,False,6,Cloudy
2024-03-10,28.000000000000004,-0.5814151240640856,478.4620799168532,487.5478762406991,497.2862877632349,0.0709333497569476,6815.13,483.42,True,6,Investigate
2024-04-08,1.4,-2.158255292570358,126.21508553792634,131.97997445174133,138.1621109260184,0.0662459539535518,1841.32,121.98,False,1,Investigate
2024-04-14,18.0,-0.93785479624731,346.8227768345924,354.4773075509876,362.8825530212547,0.0704575070822265,4949.65,348.74,False,7,Investigate
2024-05-06,0.3,-2.888866675845433,171.55385511747238,178.00611864683765,184.50761891944276,0.0657802518001739,2482.66,163.31,False,5,Investigate
2024-05-12,53.0,0.0937276893523095,253.5401070610409,261.1647972471136,268.4015385540638,0.0716419299620142,3652.47,261.67,True,2,Investigate
2024-06-02,49.9,-0.0598829336261907,192.8101696992045,198.64630713732453,205.86860508952603,0.0713685163370526,2783.16,198.63,True,2,Investigate
2024-07-08,71.6,0.5929740794796363,95.65272505661788,101.5013904014675,107.75125030035936,0.0736517523347621,1417.21,104.38,True,2,Healthy
2024-07-09,36.5,-0.3687598238523488,38.49202875243736,43.758315463468,49.54055814364771,0.0691041628081261,611.83,42.28,False,1,Investigate
2024-07-11,65.5,0.4029971335220076,105.21705026227144,111.66029242401216,117.21818003522174,0.0727165313413666,1557.28,113.24,True,2,Healthy
2024-07-12,78.4,0.773213992218188,132.8351029318008,139.04087864201415,144.89680592080737,0.0734628431994603,1939.62,142.49,True,2,Healthy
2024-08-10,28.6,-0.5672110585494538,28.134538623503747,33.90174731976687,39.8939588486075,0.0660809696393297,473.51,31.29,False,1,Investigate
2024-08-12,0.0,-39.74640061065528,238.6845349544676,245.79059684901443,252.5998421326553,0.0095093257790394,3432.42,32.64,False,3,Investigate
2024-08-13,0.0,-6.535824142673436,96.59482127287257,102.14752940805926,108.2168244858256,0.0509366286614429,1427.46,72.71,False,1,Investigate
2024-08-15,66.60000000000001,0.4013520778080851,304.92614758156463,312.27362007301224,319.7585815448099,0.0721332819698581,4362.48,314.68,True,7,Healthy
2024-08-18,81.10000000000001,0.8741923638142327,278.25218122988383,284.8105656511776,291.73118075050195,0.0727606643520829,3980.31,289.61,True,2,Healthy
2024-08-28,88.4,1.194715927826996,270.7127215736636,277.8118166302647,284.8875686587933,0.073350780596555,3878.35,284.48,True,2,Healthy
2024-09-01,77.60000000000001,0.73403854042149,352.542212543052,360.3288289076284,368.8533511327053,0.0725100123558685,5036.27,365.18,True,7,Healthy
2024-09-02,1.7999999999999998,-2.085710504095521,332.1019652272963,340.29368485168163,347.69702922613925,0.0688757580586434,4752.18,327.31,False,6,Investigate
2024-09-08,84.2,0.9779910717777358,310.91835644367944,318.6884052725145,326.2758705890406,0.0729176965295127,4450.36,324.51,True,2,Healthy
2024-09-13,16.2,-0.9749841925602872,331.63600868367786,339.59404111025856,346.856012087292,0.0704058613722841,4738.81,333.64,False,7,Investigate
2024-09-16,20.5,-0.8517438731707654,410.2800128198666,418.2677763311633,426.9554551030665,0.0705848960991107,5848.56,412.82,True,6,Investigate
2024-09-19,80.0,0.8434134286995204,403.7786481604675,412.533173734088,421.79315766084886,0.0726455609316862,5763.05,418.66,True,7,Healthy
2024-09-20,64.8,0.3322344965929442,422.98935837318055,431.52415115199454,440.4718299378612,0.0719047390096582,6034.79,433.93,True,7,Healthy
2024-09-21,24.0,-0.7199994604732873,425.9856432974853,435.129329809561,444.2279589872264,0.0707583889076904,6076.17,429.94,True,6,Investigate
2024-09-26,23.9,-0.7128337115974291,399.748506174952,409.14526434984657,416.9531543766342,0.0707098115845135,5712.22,403.91,True,7,Investigate
2024-09-30,0.0,-38.13226032832647,328.14624103488654,335.946876523396,344.1363215068465,0.0205531996461411,4692.7,96.45,False,3,Investigate
2024-10-01,0.0,-39.64229387691807,367.8462801032945,375.5332822948256,383.4342823557892,0.0261001801146926,5240.96,136.79,False,3,Soiling
2024-10-14,9.0,-1.3497855355026784,489.5526817731485,499.56776101082073,509.27221157396,0.0700740320437783,6980.76,489.17,False,6,Cloudy
2024-10-15,0.3,-2.755404548428203,510.9472601095088,520.6339069964176,530.9638863417856,0.0685808097935644,7272.88,498.78,False,4,Soiling
2024-10-19,1.7000000000000002,-2.13499344403612,509.3439359638338,519.7869253715037,529.8784140213545,0.0693072308569926,7256.53,502.93,False,4,Cloudy
2024-10-20,0.8999999999999999,-2.107347523070375,513.9561409807465,523.463169716847,534.4602987063521,0.0693779217292758,7313.71,507.41,False,4,Cloudy
2024-10-25,0.3,-2.70316272260337,509.8571975249973,519.4408483395687,529.488020640312,0.0687006922441022,7261.79,498.89,False,4,Cloudy
2024-10-30,5.0,-1.615095037908548,554.6298708214472,565.3756949814772,575.6659857653996,0.0698880080126439,7898.78,552.03,False,4,Cloudy
2024-11-03,0.0,-3.371762097593487,501.7935523690029,511.2423757003916,521.1665214066358,0.0680482944065856,7140.37,485.89,False,4,Soiling
2024-12-15,56.00000000000001,0.1115873593482497,258.78181431105406,265.8618127394727,273.59465217224624,0.0717895586459123,3716.0,266.77,True,2,Investigate
2025-02-18,0.0,-35.706744061108495,521.9592266218731,531.1869097662699,541.0439717030674,0.0348576398378411,7427.64,258.91,False,3,Soiling
2025-02-26,0.0,-12.956591480842585,490.8531155592697,500.0770894223972,509.85127891386793,0.0578371963435764,6985.47,404.02,False,0,Soiling
2025-02-28,0.0,-12.91535261657014,472.8461359949917,482.5626366755348,491.5566830141965,0.0576397740322557,6739.27,388.45,False,0,Soiling
2025-03-15,0.0,-8.451631048992727,316.9914262197693,324.460392676764,332.3559823262577,0.0602309466652042,4534.38,273.11,False,0,Investigate
2025-03-18,0.0,-11.736398296717391,429.0705247303206,437.827973874497,446.9577213721508,0.0583552206226048,6110.85,356.6,False,0,Soiling
2025-03-19,0.0,-11.729119510358135,414.15701582336425,423.0086343919177,431.75884485345057,0.0579319333963161,5907.45,342.23,False,0,Soiling
2025-03-20,0.0,-5.827566170986414,169.64471597505403,176.18842932317932,182.53108205049665,0.0598805073920761,2458.73,147.23,False,5,Investigate
2025-03-21,0.0,-5.720690445739981,178.40248405086038,184.958146071848,191.64681099236716,0.0603306871932861,2584.92,155.95,False,5,Investigate
2025-03-22,0.0,-4.322452266117828,134.41744877580777,140.40949977480352,146.18973030717592,0.061214380522309,1958.2,119.87,False,5,Investigate
2025-03-23,0.6,-2.278502928149013,160.2466253823849,166.5848901882067,172.68575457923453,0.0668101411261415,2327.94,155.53,False,5,Investigate
2025-03-29,0.0,-4.463434588395167,311.2892666224333,318.50273615622723,325.755938467574,0.065605812441873,4451.13,292.02,False,5,Investigate
2025-03-31,0.0,-8.877173074694701,372.0930467700382,380.0428925826464,388.4567772381376,0.0608785332776104,5303.84,322.89,False,0,Soiling
2025-04-04,0.0,-5.653229156830093,359.89966275026217,367.6811466227426,375.7719117594357,0.0646868132598446,5133.04,332.04,False,6,Soiling
2025-04-06,0.0,-5.291145355988949,299.7547160477658,307.3087495715029,314.6857026721177,0.0644370782100466,4292.87,276.62,False,5,Investigate
2025-04-16,10.9,-1.183651859027717,335.0102044484769,342.03746516079707,350.2870444676501,0.0701765403961688,4776.81,335.22,False,5,Investigate
2025-04-18,0.0,-10.69469013288962,323.411801058286,331.6836771158331,339.46678966369234,0.0573056987978192,4628.51,265.24,False,0,Investigate
2025-05-11,44.0,-0.1372689792496214,252.37876192880177,259.1686590132469,265.47256303233354,0.0713216695739527,3621.48,258.29,True,7,Investigate
2025-05-12,36.8,-0.3511566654235262,226.5354207319897,233.02223564091543,239.58405483418667,0.0711051267407829,3252.93,231.3,True,5,Investigate
2025-05-20,24.6,-0.697239358314249,29.923276688339318,35.58370432305996,41.21809560307726,0.0651763854694056,498.34,32.48,False,1,Investigate
2025-06-03,23.3,-0.7467329195393272,48.55903067385788,54.180928559484215,59.97197079648561,0.0672360001226323,756.44,50.86,False,1,Investigate
2025-06-04,49.7,-0.0081947153778289,216.56458916711503,223.16511008360217,229.8272165406084,0.0715694606803927,3117.95,223.15,True,2,Investigate
2025-06-07,26.8,-0.6593109592554727,37.87592366966932,43.49930759731501,49.205012374889286,0.0668555333011784,607.13,40.59,False,1,Investigate
2025-06-25,24.0,-0.7450696056471451,15.340964744562111,21.348210208647785,26.74988769492804,0.0607265434440257,294.27,17.87,False,1,Investigate
2025-07-04,26.700000000000003,-0.6172471546229884,39.09226496428386,44.77462964491744,50.27094266545211,0.0673069239404482,625.79,42.12,False,1,Investigate
2025-08-01,35.4,-0.3657416061959893,259.5468536414817,266.6110913313694,273.55657301247976,0.0710557545170529,3724.54,264.65,True,7,Investigate
2025-08-04,19.7,-0.8643422288464898,53.09876826922665,58.69905130528047,64.96395290295266,0.0670896887527886,819.5,54.98,False,1,Investigate
2025-08-27,14.6,-1.0623271881096976,330.49706959918296,338.149850456138,345.800107067543,0.0702191013584117,4725.21,331.8,False,7,Investigate
2025-09-15,5.0,-1.6992613412096764,160.4646193412244,166.9664396098783,173.0241107650491,0.0680569623220755,2329.96,158.57,False,5,Investigate
2025-09-19,0.8,-2.594069506005741,334.154684903272,342.608759175428,349.6292716914716,0.0681280512129405,4784.96,325.99,False,6,Investigate
2025-10-10,0.3,-2.7908966385760627,496.1947838359045,505.3674838688007,514.6704602214055,0.0685816581073788,7060.78,484.24,False,6,Soiling
2025-10-12,0.0,-3.009612095218128,492.674791542213,501.6043075876271,511.7881994896573,0.0684106781593089,7006.07,479.29,False,6,Soiling
2025-12-04,0.0,-9.760675491681075,584.8624826253032,595.8549357572842,605.9473422693213,0.0617001910509532,8316.83,513.15,False,4,Soiling
2025-12-12,0.0,-8.791509261261748,378.2436780943541,386.913720273775,395.5164246211589,0.06074408449841,5405.3,328.34,False,0,Soiling
